============ zoos ======================
Abilene Zoological Gardens                                          Abilene, TX
Adventure Aquarium                                                  Camden, NJ
African Safari Wildlife Park                                        Port Clinton, OH
Akron Zoological Park                                               Akron, OH
Alameda Park Zoo                                                    Alamogordo, NM
Alaska SeaLife Center                                               Seward, AK
Albuquerque Biological Park                                         Albuquerque, NM
Alexandria Zoological Park                                          Alexandria, LA
Aquarium of Niagara                                                 Niagara Falls, NY
Aquarium of the Pacific                                             Long Beach, CA
Arizona-Sonora Desert Museum                                        Tucson, AZ
Audubon Aquarium of the Americas                                    New Orleans, LA
Audubon Zoo                                                         New Orleans, LA
Bailey-Matthews National Shell Museum                               Sanibel, FL
Baylor University                                                   Bear Habitat Waco, TX
Bergen County Zoological Park                                       Paramus, NJ
Binder Park Zoo                                                     Battle Creek, MI
Binghamton Zoo at Ross Park                                         Binghamton, NY
Birch Aquarium at Scripps                                           La Jolla, CA
Birmingham Zoo                                                      Birmingham, AL
Blank Park Zoo                                                      Des Moines, IA
Boonshoft Museum of Discovery                                       Dayton, OH
Bramble Park Zoo                                                    Watertown, SD
Brandywine Zoo                                                      Wilmington, DE
BREC's Baton Rouge Zoo                                              Baker, LA
Brevard Zoo                                                         Melbourne, FL
Bronx Zoo                                                           Bronx, NY
Brookfield Zoo (Chicago Zoological Society)                         Brookfield, IL
Brookgreen Gardens                                                  Pawleys Island, SC
Buffalo Zoo                                                         Buffalo, NY
Busch Gardens                                                       Tampa, FL
Butterfly House, The                                                Chesterfield, MO
Butterfly Pavilion                                                  Westminster, CO
Buttonwood Park Zoo                                                 New Bedford, MA
Cabrillo Marine Aquarium                                            San Pedro, CA
Caldwell Zoo                                                        Tyler, TX
California Science Center                                           Los Angeles, CA
Cameron Park Zoo                                                    Waco, TX
Cape May County Park Zoo                                            Cape May County Court House, NJ
Capron Park Zoo                                                     Attleboro, MA
Central Florida Zoological Park                                     Sanford, FL
Central Park Zoo                                                    New York City, NY
Charles Paddock Zoo                                                 Atascadero, CA
Chattanooga Zoo at Warner Park                                      Chattanooga, TN
Chehaw Park                                                         Albany, GA
Cheyenne Mountain Zoological Park                                   Colorado Springs, CO
Cincinnati Zoo and Botanical Garden                                 Cincinnati, OH
Cleveland Metroparks Zoo                                            Cleveland, OH
Clyde Peeling's Reptiland                                           Allenwood, PA
Columbus Zoo and Aquarium                                           Powell, OH
Como Park Zoo and Conservatory                                      Saint Paul, MN
Connecticut's Beardsley Zoo                                         Bridgeport, CT
Cosley Zoo                                                          Wheaton, IL
CuriOdyssey                                                         San Mateo, CA
Dakota Zoo                                                          Bismarck, ND
Dallas World Aquarium                                               Dallas, TX
Dallas Zoo                                                          Dallas, TX
David Traylor Zoo of Emporia                                        Emporia, KS
Denver Zoo                                                          Denver, CO
Detroit Zoo                                                         Royal Oak, MI
Dickerson Park Zoo                                                  Springfield, MO
Discovery Cove                                                      Orlando, FL
Disney's Animal Kingdom                                             Bay Lake, FL
El Paso Zoo                                                         El Paso, TX
Ellen Trout Zoo                                                     Lufkin, TX
Elmwood Park Zoo                                                    Norristown, PA
Erie Zoo                                                            Erie, PA
Florida Aquarium                                                    Tampa, FL
Fort Wayne Children's Zoo                                           Fort Wayne, IN
Fort Worth Zoo                                                      Fort Worth, TX
Fossil Rim Wildlife Center                                          Glen Rose, TX
Franklin Park Zoo                                                   Boston, MA
Fresno Chaffee Zoo                                                  Fresno, CA
Georgia Aquarium                                                    Atlanta, GA
Gladys Porter Zoo                                                   Brownsville, TX
Great Plains Zoo and Museum                                         Sioux Falls, SD
Greensboro Science Center                                           Greensboro, NC
Greenville Zoo                                                      Greenville, SC
Grizzly & Wolf Discovery Center                                     West Yellowstone, MT
Happy Hollow Park & Zoo                                             San Jose, CA
Henry Vilas Zoo                                                     Madison, WI
Henson Robinson Zoo                                                 Springfield, IL
Honolulu Zoo                                                        Honolulu, HI
Houston Zoo                                                         Houston, TX
Hutchinson Zoo                                                      Hutchinson, KS
Idaho Falls Zoo at Tautphaus Park                                   Idaho Falls, ID
Indianapolis Zoo                                                    Indianapolis, IN
International Crane Foundation                                      Baraboo, WI
Jackson Zoo                                                         Jackson, MS
Jacksonville Zoo and Gardens                                        Jacksonville, FL
Jenkinson's Aquarium Point                                          Pleasant Beach, NJ
John Ball Zoological Garden                                         Grand Rapids, MI
John G. Shedd Aquarium                                              Chicago, IL
Kansas City Zoo         in Swope Park                               Kansas City, MO
Lake Superior Zoo                                                   Duluth, MN
Landry's Downtown Aquarium                                          Denver, CO
Landry's Houston Aquarium                                           Houston, TX
Lee G. Simmons Conservation Park and Wildlife Safari                Ashland, NE
Lee Richardson Zoo                                                  Garden City, KS
Lehigh Valley Zoo                                                   Schnecksville, PA
Lincoln Children's Zoo                                              Lincoln, NE
Lincoln Park Zoo                                                    Chicago, IL
Lion Country Safari                                                 Loxahatchee, FL
Little Rock Zoological Gardens                                      Little Rock, AR
Living Desert Zoo and Gardens                                       Palm Desert, CA
Living Desert Zoo and Gardens State Park                            Carlsbad, NM
Los Angeles Zoo                                                     Los Angeles, CA
Louisville Zoological Garden                                        Louisville, KY
Loveland Living Planet Aquarium                                     Draper, UT
Marineland of Florida                                               St. Augustine, FL
Maritime Aquarium at Norwalk                                        Norwalk, CT
Maryland Zoo in Baltimore                                           Baltimore, MD
Memphis Zoo                                                         Memphis, TN
Mesker Park Zoo and Botanic Garden                                  Evansville, IN
Mill Mountain Zoo                                                   Roanoke, VA
Miller Park Zoo                                                     Bloomington, IL
Milwaukee County Zoo                                                Milwaukee, WI
Minnesota Zoo                                                       Apple Valley, MN
Monterey Bay Aquarium                                               Monterey, CA
Montgomery Zoo                                                      Montgomery, AL
Moody Gardens Rainforest and Aquarium                               Galveston, TX
Mote Marine Aquarium                                                Sarasota, FL
Museum of Life and Science                                          Durham, NC
Museum of Science                                                   Boston, MA
Mystic Aquarium & Institute for Exploration                         Mystic, CT
Naples Zoo          at Caribbean Gardens                            Naples, FL
Nashville Zoo                                                       Nashville, TN
National Aviary                                                     Pittsburgh, PA
National Mississippi River Museum & Aquarium                        Port of Dubuque, IA
New England Aquarium                                                Boston, MA
New York Aquarium                                                   Brooklyn, NY
Newport Aquarium                                                    Newport, KY
Niabi Zoo                                                           Coal Valley, IL
North Carolina Aquarium at Fort Fisher                              Kure Beach, NC
North Carolina Aquarium at Pine Knoll Shores                        Atlantic Beach, NC
North Carolina Aquarium on Roanoke Island                           Manteo, NC
North Carolina Zoological Park                                      Asheboro, NC
Northeastern Wisconsin Zoo                                          Green Bay, WI
Northwest Trek Wildlife Park                                        Eatonville, WA
Oakland Zoo                                                         Oakland, CA
OdySea Aquarium                                                     Scottsdale, AZ
Oglebay's Good Zoo                                                  Wheeling, WV
Oklahoma City Zoological Park                                       Oklahoma City, OK
Omaha's Henry Doorly Zoo                                            Omaha, NE
Oregon Coast Aquarium                                               Newport, OR
Oregon Zoo                                                          Portland, OR
Palm Beach Zoo                                                      West Palm Beach, FL
Peoria Zoo                                                          Peoria, IL
Philadelphia Zoo                                                    Philadelphia, PA
