=======================================
================ Index ================
=======================================

0000 - 0099 - US Colleges & Universities
x - x - Defunct US Colleges & Universities


=======================================
================ Notes ================
=======================================

This is a list of universities and colleges (where "college" refers to an institution of its own rather than a unit of a university). It strives to include historical, no-longer-extant universities as well. State/city are provided mainly to disambiguate names that are similar. It reserves space for newly created universities and other higher education entities, which apparently happens every year in some small number.

The list was built from:

https://en.wikipedia.org/wiki/Lists_of_American_universities_and_colleges

These were a mess. Part of that is due to the fact that American universities will open many campuses in many cities, and call each the "University of Blahstate at Yaddatown" and "University at Blahstate at Foobarville", but occasionally one will just be named something like "Greebenfloo College" with a paranthetical notation that it's affiliated. In such cases, the latter is retained (it is named as if it is its own entity) unless it turns out that it is merely one of the units of the larger university system. In some of the Wikipedia lists, defunct institutions weren't separate from extant. Finally, University of Phoenix and the other diploma mills that try to open a location in every strip mall across the nation made it more than a little tedious.

All higher education entities are sorted by state, then name.

=======================================
=========== US Universities ===========
=======================================

0000    Air University                                                  Montgomery, AL
0001    Alabama A&M University                                          Normal, AL
0002    Alabama College of Osteopathic Medicine                         Dothan, AL
0003    Alabama State University                                        Montgomery, AL
0004    Amridge University                                              Montgomery, AL
0005    Athens State University                                         Athens, AL
0006    Auburn University                                               Auburn, AL
0007    Auburn University at Montgomery                                 Montgomery, AL
0008    Bevill State Community College                                  Sumiton, AL
0009    Birmingham School of Law                                        Birmingham, AL
0010    Birmingham–Southern College                                     Birmingham, AL
0011    Bishop State Community College                                  Mobile, AL
0012    Calhoun Community College                                       Tanner, AL
0013    Central Alabama Community College                               Alexander City, AL
0014    Chattahoochee Valley Community College                          Phenix City, AL
0015    Coastal Alabama Community College                               Bay Minette, AL
0016    Columbia Southern University                                    Orange Beach, AL
0017    Community College of the Air Force                              Montgomery, AL
0018    Enterprise State Community College                              Enterprise, AL
0019    Faulkner University                                             Montgomery, AL
0020    Gadsden State Community College                                 Gadsden, AL
0021    H. Councill Trenholm State Community College                    Montgomery, AL
0022    Heritage Christian University                                   Florence, AL
0023    Highlands College                                               Birmingham, AL
0024    Huntingdon College                                              Montgomery, AL
0025    Huntsville Bible College                                        Huntsville, AL
0026    J. F. Drake State Community and Technical College               Huntsville, AL
0027    J. F. Ingram State Technical College                            Deatsville, AL
0028    Jacksonville State University                                   Jacksonville, AL
0029    Jefferson State Community College                               Birmingham, AL
0030    Lawson State Community College                                  Birmingham, AL
0031    Lurleen B. Wallace Community College                            Andalusia, AL
0032    Marion Military Institute                                       Marion, AL
0033    Miles College                                                   Fairfield, AL
0034    Miles Law School                                                Fairfield, AL
0035    Northeast Alabama Community College                             Rainsville, AL
0036    Northwest–Shoals Community College                              Muscle Shoals, AL
0037    Oakwood University                                              Huntsville, AL
0038    Reid State Technical College                                    Evergreen, AL
0039    Samford University                                              Birmingham, AL
0040    Selma University                                                Selma, AL
0041    Shelton State Community College                                 Tuscaloosa, AL
0042    Snead State Community College                                   Boaz, AL
0043    Southern Union State Community College                          Wadley, AL
0044    Spring Hill College                                             Mobile, AL
0045    Stillman College                                                Tuscaloosa, AL
0046    Talladega College                                               Talladega, AL
0047    Troy University                                                 Troy, AL
0048    Tuskegee University                                             Tuskegee, AL
